hexal_id,receptor_channel,raytracer_receptor_type,node_id,node_type,u,v,frame_id,global_indices,lens_indices,receptor_type,position_x_um,position_y_um,position_z_um,direction_x,direction_y,direction_z,colours_r_uv,colours_g,colours_b,intensity,matched
173,4,4,3057,R5,-7,9,1,1215,173,4,-334.08795166015625,-42.99578094482422,163.49815368652344,-0.4184490442276001,-0.2248425334692001,0.8799694776535034,0.1601552814245224,0.0901999622583389,0.0428301058709621,0.0977284535765647,True
173,5,5,3778,R6,-7,9,1,1216,173,5,-334.08795166015625,-42.99578094482422,163.49815368652344,-0.3353723585605621,-0.2369110137224197,0.911810576915741,0.1315094530582428,0.0720003172755241,0.0313811562955379,0.0782969817519187,True
173,6,6,4499,R7,-7,9,1,1217,173,6,-334.08795166015625,-42.99578094482422,163.49815368652344,-0.373784452676773,-0.1557354927062988,0.9143476486206056,0.1293530762195587,0.0113854361698031,0.0111859450116753,0.0506414882838726,True
173,7,6,5220,R8,-7,9,1,1217,173,6,-334.08795166015625,-42.99578094482422,163.49815368652344,-0.373784452676773,-0.1557354927062988,0.9143476486206056,0.1293530762195587,0.0113854361698031,0.0111859450116753,0.0506414882838726,True
174,0,0,174,R1,-7,10,1,1218,174,0,-351.7901611328125,-35.51826477050781,156.6119842529297,-0.3933838009834289,-0.062740571796894,0.917231023311615,0.1778772622346878,0.1127903908491134,0.0762740224599838,0.1223138943314552,True
174,1,1,895,R2,-7,10,1,1219,174,1,-351.7901611328125,-35.51826477050781,156.6119842529297,-0.4758941233158111,-0.0381401516497135,0.8786752223968506,0.1993411779403686,0.155552864074707,0.1263238787651062,0.1604059785604477,True
174,2,2,1616,R3,-7,10,1,1220,174,2,-351.7901611328125,-35.51826477050781,156.6119842529297,-0.5535461902618408,-0.0232723206281662,0.832493245601654,0.2024060487747192,0.1602881550788879,0.1388096362352371,0.1671679466962814,True
174,3,3,2337,R4,-7,10,1,1221,174,3,-351.7901611328125,-35.51826477050781,156.6119842529297,-0.5253503918647766,-0.1107584089040756,0.8436465859413147,0.1632033139467239,0.0853885039687156,0.0396218039095401,0.0960712060332298,True
174,4,4,3058,R5,-7,10,1,1222,174,4,-351.7901611328125,-35.51826477050781,156.6119842529297,-0.4949640333652496,-0.1957106739282608,0.8465860486030579,0.1291733235120773,0.0675028339028358,0.0310737956315279,0.0759166553616523,True
174,5,5,3779,R6,-7,10,1,1223,174,5,-351.7901611328125,-35.51826477050781,156.6119842529297,-0.4154192805290222,-0.213563859462738,0.8842043280601501,0.1366465836763382,0.0754938423633575,0.0366387739777565,0.0829264000058174,True
